text,label
Breaking news! The government has announced a new policy to improve education.,REAL
Scientists discover a new species of fish in the deep ocean.,REAL
"Fake news alert! A celebrity was caught in a major scandal, but no sources confirm it.",FAKE
New study shows that eating chocolate can help with weight loss.,REAL
"Conspiracy theory claims the moon landing was faked, despite overwhelming evidence.",FAKE
Tech company launches a revolutionary AI-powered smartphone.,REAL
False report claims that a famous actor is quitting the industry.,FAKE
Health experts recommend a balanced diet and regular exercise for longevity.,REAL
"Social media rumors spread about a major political event, later proven false.",FAKE
NASA confirms new mission to explore Mars in the next decade.,REAL
